"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "Markdown", "comment", "blank", "total"
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\LabelConversionArray.ts", "TypeScript", 0, -2, 0, 0, 0, -1, -3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\labelConversionArray.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 10
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\mock.ts", "TypeScript", 0, 99, 0, 0, 1, 9, 109
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.scss", "SCSS", 0, 0, -23, 0, 0, -6, -29
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 1, 0
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.scss", "SCSS", 0, 0, 45, 0, 0, 15, 60
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.tsx", "TypeScript JSX", 82, 0, 0, 0, 1, 3, 86
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.scss", "SCSS", 0, 0, 45, 0, 3, 11, 59
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.tsx", "TypeScript JSX", 79, 0, 0, 0, 10, -1, 88
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.scss", "SCSS", 0, 0, 10, 0, 0, 1, 11
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.tsx", "TypeScript JSX", -1, 0, 0, 0, 4, 1, 4
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.scss", "SCSS", 0, 0, 5, 0, 0, 1, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 4
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\PersonalIcon\index.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, -1
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\dataset.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\datasetDetail.d.ts", "TypeScript", 0, -8, 0, 0, 0, -2, -10
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\loadingStatus.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\login.d.ts", "TypeScript", 0, -6, 0, 0, 0, -1, -7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\model.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\modelDetail.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\signUp.d.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 15
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.tsx", "TypeScript JSX", 4, 0, 0, 0, -1, 0, 3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetCard\hahaha.md", "Markdown", 0, 0, 0, -80, 0, -34, -114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetCard\index.tsx", "TypeScript JSX", -53, 0, 0, 0, -2, -3, -58
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetFilesTable\index.tsx", "TypeScript JSX", -147, 0, 0, 0, -6, -10, -163
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\index.tsx", "TypeScript JSX", -88, 0, 0, 0, -9, -8, -105
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetLabel\index.scss", "SCSS", 0, 0, -38, 0, 0, -8, -46
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetLabel\index.tsx", "TypeScript JSX", -102, 0, 0, 0, -4, -10, -116
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetList\index.scss", "SCSS", 0, 0, -6, 0, 0, 0, -6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetList\index.tsx", "TypeScript JSX", -23, 0, 0, 0, 0, -4, -27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\ListHeader\index.tsx", "TypeScript JSX", -40, 0, 0, 0, -3, -4, -47
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\ListPagination\index.tsx", "TypeScript JSX", -24, 0, 0, 0, 0, -6, -30
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\index.tsx", "TypeScript JSX", -34, 0, 0, 0, 0, -2, -36
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.tsx", "TypeScript JSX", -43, 0, 0, 0, -1, -1, -45
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, -1, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\index.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.scss", "SCSS", 0, 0, 22, 0, 0, 3, 25
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.tsx", "TypeScript JSX", 67, 0, 0, 0, 4, 5, 76
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\hahaha.md", "Markdown", 0, 0, 0, 80, 0, 34, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.scss", "SCSS", 0, 0, 23, 0, 0, 6, 29
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.tsx", "TypeScript JSX", 54, 0, 0, 0, 3, 4, 61
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.scss", "SCSS", 0, 0, 52, 0, 0, 15, 67
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.tsx", "TypeScript JSX", 162, 0, 0, 0, 11, 6, 179
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.tsx", "TypeScript JSX", 104, 0, 0, 0, 8, 4, 116
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.scss", "SCSS", 0, 0, 36, 0, 0, 6, 42
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.tsx", "TypeScript JSX", 90, 0, 0, 0, 7, 6, 103
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.scss", "SCSS", 0, 0, 28, 0, 0, 5, 33
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.tsx", "TypeScript JSX", 104, 0, 0, 0, 5, 3, 112
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.scss", "SCSS", 0, 0, 30, 0, 0, 6, 36
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.tsx", "TypeScript JSX", 101, 0, 0, 0, 4, 9, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.scss", "SCSS", 0, 0, 5, 0, 0, 0, 5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 3, 27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.scss", "SCSS", 0, 0, 16, 0, 1, 3, 20
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.tsx", "TypeScript JSX", 51, 0, 0, 0, 3, 2, 56
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.scss", "SCSS", 0, 0, 6, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 5, 38
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.scss", "SCSS", 0, 0, 23, 0, 1, 3, 27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 1, 65
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.scss", "SCSS", 0, 0, 47, 0, 0, 8, 55
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.tsx", "TypeScript JSX", 79, 0, 0, 0, 6, 6, 91
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Login\index.scss", "SCSS", 0, 0, -47, 0, 0, -8, -55
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Login\index.tsx", "TypeScript JSX", -79, 0, 0, 0, -6, -7, -92
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\hahaha.md", "Markdown", 0, 0, 0, -80, 0, -34, -114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\index.scss", "SCSS", 0, 0, -23, 0, 0, -6, -29
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\index.tsx", "TypeScript JSX", -54, 0, 0, 0, -3, -4, -61
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelFilesTable\index.scss", "SCSS", 0, 0, -45, 0, 0, -13, -58
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelFilesTable\index.tsx", "TypeScript JSX", -141, 0, 0, 0, -8, -6, -155
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\index.scss", "SCSS", 0, 0, -28, 0, 0, -5, -33
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\index.tsx", "TypeScript JSX", -86, 0, 0, 0, -1, -7, -94
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListHeader\index.scss", "SCSS", 0, 0, -16, 0, -1, -3, -20
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListHeader\index.tsx", "TypeScript JSX", -41, 0, 0, 0, -3, -2, -46
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListPagination\index.scss", "SCSS", 0, 0, -6, 0, 0, 0, -6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListPagination\index.tsx", "TypeScript JSX", -25, 0, 0, 0, 0, -6, -31
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelLabel\index.scss", "SCSS", 0, 0, -30, 0, 0, -6, -36
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelLabel\index.tsx", "TypeScript JSX", -102, 0, 0, 0, -4, -9, -115
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelList\index.scss", "SCSS", 0, 0, -5, 0, 0, 0, -5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelList\index.tsx", "TypeScript JSX", -24, 0, 0, 0, 0, -4, -28
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\index.scss", "SCSS", 0, 0, -23, 0, -1, -3, -27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\index.tsx", "TypeScript JSX", -35, 0, 0, 0, 0, -2, -37
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Notification\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 2, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, -1, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.scss", "SCSS", 0, 0, 6, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.tsx", "TypeScript JSX", 93, 0, 0, 0, 16, 5, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\index.tsx", "TypeScript JSX", 117, 0, 0, 0, 8, 5, 130
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\routes\index.tsx", "TypeScript JSX", -47, 0, 0, 0, 58, -3, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\datasetDetail\datasetDetailSlice.ts", "TypeScript", 0, 7, 0, 0, -16, 0, -9
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetAPI.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetSlice.ts", "TypeScript", 0, 41, 0, 0, 1, -2, 40
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\logIn\logInAPI.ts", "TypeScript", 0, 6, 0, 0, 1, 1, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\logIn\logInSlice.ts", "TypeScript", 0, 65, 0, 0, 26, 12, 103
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\login\loginAPI.ts", "TypeScript", 0, -6, 0, 0, -1, -2, -9
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\login\loginSlice.ts", "TypeScript", 0, -53, 0, 0, -28, -15, -96
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\modelDetail\modelDetailSlice.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 10
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelAPI.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelSlice.ts", "TypeScript", 0, 49, 0, 0, -7, 0, 42
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\personalFiles\personalFilesSlice.ts", "TypeScript", 0, 8, 0, 0, 0, -3, 5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\signUp\signUpAPI.ts", "TypeScript", 0, 10, 0, 0, 1, 2, 13
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\signUp\signUpSlice.ts", "TypeScript", 0, 61, 0, 0, 10, 4, 75
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\store.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"Total", "-", 161, 328, 109, -80, 87, -34, 571